variabile,mae,rmse,delta_mae,delta_rmse
baseline,0.7252779352570098,0.9204834306647657,0.0,0.0
precisione,0.8238616660243387,1.0329864317184951,0.09858373076732896,0.11250300105372946
pericolosita,0.8915573504097445,1.1589690428621906,0.1662794151527347,0.23848561219742492
xg_per_tiro,0.8920172774362429,1.114391027609654,0.16673934217923314,0.19390759694488835
precisione_pericolosita,1.2050064685132347,1.7889487011415095,0.4797285332562249,0.8684652704767438
qualita_completa,1.1293264065064639,1.4365974932656083,0.4040484712494541,0.5161140626008426
