variabile,mae,rmse,delta_mae,delta_rmse
indice_forza_tiri,0.7811585259207257,0.9909435984848267,0.012876025920725676,0.04368791605024347
target_attacco_difesa,0.8174704987369953,0.961388184147043,0.04918799873699531,0.014132501712459722
tiri_concessi,0.8191210540282183,0.979824332241576,0.05083855402821835,0.0325686498069927
differenza_porta,0.8800136200322558,1.1137541393084325,0.11173112003225583,0.16649845687384923
