variabile,mae,rmse,delta_mae,delta_rmse
tiri_effettuati,0.9186589931055846,1.0701095173634179,0.15037649310558465,0.12285383492883462
tiri_concessi,0.8111227291132459,0.9834635112711072,0.04284022911324592,0.03620782883652396
tiri_attesi,0.9186589931055846,1.0701095173634179,0.15037649310558465,0.12285383492883462
tiri_in_porta,1.019794623369087,1.4524885490813078,0.2515121233690871,0.5052328666467245
tiri_in_porta_attesi,0.8326249441121798,1.0152158006357903,0.06434244411217982,0.06796011820120706
