match_id,data,casa,ospite,gol_casa_reali,gol_ospite_reali,gol_casa_baseline,gol_ospite_baseline,tiri_dentro_casa_pre,tiri_fuori_casa_pre,tiri_dentro_casa_concessi_pre,tiri_fuori_casa_concessi_pre,tiri_dentro_ospite_pre,tiri_fuori_ospite_pre,tiri_dentro_ospite_concessi_pre,tiri_fuori_ospite_concessi_pre,expected_tiri_dentro_casa,expected_tiri_dentro_ospite,expected_tiri_fuori_casa,expected_tiri_fuori_ospite,tiri_dentro_casa_reali,tiri_fuori_casa_reali,tiri_dentro_ospite_reali,tiri_fuori_ospite_reali,valido
29871,2025-09-14 18:45:00,Milan,Bologna,1.0,0.0,1.324074074074074,0.7709080047789724,13.5,5.5,4.5,1.0,8.0,4.5,7.5,6.0,10.5,6.25,5.75,2.75,10,4,2,3,True
29872,2025-09-15 16:30:00,Verona,Cremonese,0.0,0.0,0.8125,2.920138888888889,5.0,5.5,10.5,7.5,5.5,2.0,11.0,5.5,8.0,8.0,5.5,4.75,12,8,2,4,True
29873,2025-09-15 18:45:00,Como,Genoa,1.0,1.0,1.043103448275862,0.39655172413793105,10.0,6.0,6.5,3.5,4.0,3.5,6.5,3.5,8.25,5.25,4.75,3.5,6,7,9,3,True
29882,2025-09-19 18:45:00,Lecce,Cagliari,1.0,2.0,0.7083333333333333,1.4823717948717947,4.666666666666667,4.0,8.333333333333334,4.333333333333333,6.666666666666667,5.333333333333333,9.333333333333334,4.0,7.0,7.5,4.0,4.833333333333333,8,3,13,2,True
29877,2025-09-20 13:00:00,Bologna,Genoa,2.0,1.0,0.7150537634408601,0.5748471431583385,6.0,4.0,8.333333333333334,5.333333333333333,5.666666666666667,3.3333333333333335,6.333333333333333,4.666666666666667,6.166666666666666,7.0,4.333333333333334,4.333333333333333,11,3,5,2,True
29876,2025-09-20 16:00:00,Verona,Juventus,1.0,1.0,0.7213541666666666,2.153713077073553,7.333333333333333,6.333333333333333,7.666666666666667,6.333333333333333,9.0,7.666666666666667,5.666666666666667,6.333333333333333,6.5,8.333333333333334,6.333333333333333,7.0,7,7,6,4,True
29875,2025-09-20 18:45:00,Udinese,Milan,0.0,3.0,1.2196969696969697,0.9774283935242839,6.333333333333333,6.0,7.666666666666667,4.666666666666667,12.333333333333334,5.0,3.6666666666666665,1.6666666666666667,5.0,10.0,3.8333333333333335,4.833333333333334,2,8,11,2,True
29881,2025-09-21 10:30:00,Lazio,Roma,0.0,1.0,1.2254901960784315,0.8452012383900928,8.666666666666666,4.666666666666667,9.333333333333334,4.333333333333333,7.666666666666667,7.333333333333333,4.0,4.333333333333333,6.333333333333333,8.5,4.5,5.833333333333333,6,4,12,1,True
29874,2025-09-21 13:00:00,Torino,Atalanta,0.0,3.0,0.7166666666666667,1.949242424242424,6.0,3.0,10.666666666666666,8.333333333333334,11.333333333333334,6.0,4.666666666666667,5.333333333333333,5.333333333333334,11.0,4.166666666666666,7.166666666666667,5,6,8,1,True
29878,2025-09-21 13:00:00,Cremonese,Parma,0.0,0.0,1.3888888888888888,0.6861111111111111,4.333333333333333,2.6666666666666665,11.333333333333334,6.333333333333333,6.0,4.333333333333333,9.666666666666666,6.333333333333333,7.0,8.666666666666668,4.5,5.333333333333333,2,1,10,5,True
