data,casa,ospite,gol_casa,gol_ospite,casa_gol_fatti_totale_pre,casa_gol_fatti_contesto_pre,ospite_gol_fatti_totale_pre,ospite_gol_fatti_contesto_pre,casa_gol_subiti_totale_pre,casa_gol_subiti_contesto_pre,ospite_gol_subiti_totale_pre,ospite_gol_subiti_contesto_pre,casa_xg_fatti_totale_pre,casa_xg_fatti_contesto_pre,ospite_xg_fatti_totale_pre,ospite_xg_fatti_contesto_pre,casa_xg_subiti_totale_pre,casa_xg_subiti_contesto_pre,ospite_xg_subiti_totale_pre,ospite_xg_subiti_contesto_pre,casa_corner_totale_pre,casa_corner_contesto_pre,ospite_corner_totale_pre,ospite_corner_contesto_pre,casa_ammonizioni_totale_pre,casa_ammonizioni_contesto_pre,ospite_ammonizioni_totale_pre,ospite_ammonizioni_contesto_pre,casa_possesso_totale_pre,casa_possesso_contesto_pre,ospite_possesso_totale_pre,ospite_possesso_contesto_pre,casa_tiri_in_porta_totale_pre,casa_tiri_in_porta_contesto_pre,ospite_tiri_in_porta_totale_pre,ospite_tiri_in_porta_contesto_pre,casa_tiri_fuori_totale_pre,casa_tiri_fuori_contesto_pre,ospite_tiri_fuori_totale_pre,ospite_tiri_fuori_contesto_pre,casa_attacchi_totale_pre,casa_attacchi_contesto_pre,ospite_attacchi_totale_pre,ospite_attacchi_contesto_pre,casa_attacchi_pericolosi_totale_pre,casa_attacchi_pericolosi_contesto_pre,ospite_attacchi_pericolosi_totale_pre,ospite_attacchi_pericolosi_contesto_pre,casa_partite_totale_pre,casa_partite_contesto_pre,ospite_partite_totale_pre,ospite_partite_contesto_pre
2026-08-31T18:45:00+00:00,Atalanta,Bologna,1,0,2.0,2.0,0.0,,1.0,1.0,1.0,,0.92,0.92,2.06,,2.7,2.7,0.81,,4.0,4.0,8.0,,0.0,0.0,4.0,,56.0,56.0,59.0,,7.0,7.0,5.0,,7.0,7.0,8.0,,90.0,90.0,70.0,,31.0,31.0,30.0,,1,1,1,0
2026-09-04T18:45:00+00:00,Genoa,Como,1,4,0.0,0.0,1.5,1.5,1.5,2.0,1.0,1.0,0.62,0.5,1.74,1.74,1.64,1.16,1.58,1.58,3.5,5.0,8.5,8.5,1.0,0.0,0.0,0.0,49.5,45.0,58.5,58.5,1.5,2.0,6.0,6.0,8.0,9.0,14.0,14.0,87.5,87.0,98.0,98.0,36.0,40.0,49.0,49.0,2,1,2,2
2026-09-05T13:00:00+00:00,Fiorentina,Torino,1,2,0.0,0.0,1.0,1.0,3.5,3.0,2.0,2.0,1.05,1.82,1.32,1.5,2.86,1.95,1.64,1.55,5.5,8.0,2.5,3.0,2.5,3.0,0.5,1.0,50.0,60.0,47.5,54.0,4.0,4.0,2.5,4.0,13.0,21.0,6.5,6.0,104.5,114.0,80.5,81.0,49.0,62.0,35.5,38.0,2,1,2,1
2026-09-05T16:00:00+00:00,Inter Milan,Napoli,3,2,2.5,4.0,1.5,2.0,0.5,1.0,1.0,0.0,2.76,1.54,1.09,1.16,0.77,1.22,0.8,0.5,4.5,3.0,3.5,5.0,1.5,2.0,1.0,1.0,68.0,71.0,48.5,55.0,6.0,5.0,3.0,4.0,15.5,8.0,10.0,9.0,109.5,97.0,92.0,93.0,46.0,38.0,61.5,63.0,2,1,2,1
2026-09-05T18:45:00+00:00,Roma,Atalanta,2,1,4.0,4.0,1.5,,0.0,0.0,0.5,,3.96,3.78,0.55,,0.75,0.29,1.97,,1.5,2.0,2.5,,1.5,2.0,0.5,,62.5,60.0,49.0,,8.0,8.0,4.5,,7.5,8.0,5.5,,119.5,103.0,94.5,,60.5,59.0,30.5,,2,1,2,0
2026-09-06T13:00:00+00:00,Frosinone,Venezia,3,2,1.5,0.0,0.0,0.0,0.5,1.0,2.0,2.0,1.16,0.37,1.86,0.52,2.22,2.62,2.84,3.22,4.0,3.0,4.0,3.0,2.5,2.0,2.0,3.0,39.5,39.0,56.5,42.0,4.0,2.0,4.5,2.0,7.5,9.0,9.5,7.0,76.5,79.0,122.0,99.0,42.0,34.0,47.5,34.0,2,1,2,1
2026-09-06T13:00:00+00:00,Parma,Monza,1,1,0.0,0.0,1.5,1.0,1.5,1.0,3.5,4.0,0.62,1.03,1.56,1.22,1.54,1.26,1.28,1.54,2.5,3.0,3.0,3.0,1.5,0.0,1.5,2.0,44.5,47.0,40.0,29.0,2.5,2.0,4.0,3.0,5.5,10.0,6.5,4.0,59.5,85.0,86.0,73.0,23.5,33.0,35.5,26.0,2,1,2,1
2026-09-06T16:00:00+00:00,Bologna,Sassuolo,2,2,0.0,0.0,1.5,1.0,1.0,1.0,1.5,2.0,1.65,2.06,2.12,2.7,0.49,0.81,1.21,0.92,5.0,8.0,4.0,4.0,2.0,4.0,1.5,0.0,58.5,59.0,45.0,44.0,4.0,5.0,7.5,8.0,10.5,8.0,13.0,14.0,84.0,70.0,104.5,87.0,31.5,30.0,56.0,45.0,2,1,2,1
2026-09-06T18:45:00+00:00,Juventus,AC Milan,1,1,1.5,2.0,2.0,2.0,0.0,0.0,0.5,1.0,2.22,1.82,2.48,1.74,0.28,0.2,0.83,1.13,11.0,10.0,3.0,4.0,2.0,2.0,1.0,1.0,59.5,58.0,58.5,59.0,5.5,6.0,4.5,4.0,15.0,15.0,13.0,15.0,71.5,54.0,94.0,96.0,42.5,25.0,48.5,51.0,2,1,2,1
2026-09-07T16:30:00+00:00,Cagliari,Lecce,1,0,0.5,0.0,1.0,2.0,0.5,1.0,2.0,0.0,0.79,0.32,1.83,2.45,2.5,3.97,3.67,3.19,5.0,8.0,2.5,3.0,2.0,2.0,2.0,3.0,44.0,35.0,32.0,29.0,2.5,0.0,4.0,5.0,9.5,10.0,5.5,7.0,87.5,80.0,78.5,77.0,35.5,26.0,30.0,29.0,2,1,2,1
2026-09-07T18:45:00+00:00,Udinese,Lazio,1,2,2.0,1.0,1.0,1.0,1.5,1.0,0.0,0.0,1.57,2.12,1.46,0.81,2.14,2.39,1.4,2.06,2.0,1.0,5.0,6.0,1.5,3.0,2.5,4.0,45.0,41.0,43.5,41.0,4.0,3.0,2.5,3.0,10.0,13.0,10.0,7.0,97.0,97.0,84.0,76.0,34.5,42.0,37.5,25.0,2,1,2,1
